day,node_id,node_name,population,susceptible,latent,infectious_a,infectious_t,infectious_nt,recovered,foi,exit_rate
0,n242,Sastamala,24100,24100,0,0,0,0,0,2e-07,0.960731
0,n243,Sauvo,3000,3000,0,0,0,0,0,0.0,0.141553
0,n244,Savitaipale,3300,3300,0,0,0,0,0,0.0,0.120548
0,n245,Savonlinna,33705,33705,0,0,0,0,0,4e-08,1.155251
0,n246,Savukoski,1000,1000,0,0,0,0,0,0.0,0.06484
0,n247,Sein�joki,63800,63800,0,0,0,0,0,1e-08,2.76895
0,n248,Sievi,5200,5200,0,0,0,0,0,0.0,0.259361
0,n249,Siikainen,1500,1500,0,0,0,0,0,0.0,0.0621
0,n250,Siikajoki,5500,5500,0,0,0,0,0,0.0,0.291324
0,n251,Siikalatva,5400,5400,0,0,0,0,0,0.0,0.221005
0,n252,Siilinj�rvi,22000,22000,0,0,0,0,0,0.0,1.07032
0,n253,Simo,3100,3100,0,0,0,0,0,0.0,0.154338
0,n254,Sipoo,21800,21800,0,0,0,0,0,0.0,1.347032
0,n255,Siuntio,6400,6400,0,0,0,0,0,0.0,0.401826
0,n256,Sodankyl�,8800,8800,0,0,0,0,0,1.1e-07,0.345205
0,n257,Soini,2200,2200,0,0,0,0,0,0.0,0.094977
0,n258,Somero,8800,8800,0,0,0,0,0,0.0,0.33516
0,n259,Sonkaj�rvi,4200,4200,0,0,0,0,0,0.0,0.147032
0,n260,Sotkamo,10200,10200,0,0,0,0,0,5e-08,0.432877
0,n261,Sottunga,100,100,0,0,0,0,0,0.0,14.672146
0,n262,Sulkava,2600,2600,0,0,0,0,0,0.0,0.09589
0,n263,Sund,1000,1000,0,0,0,0,0,0.0,234.015525
0,n264,Suomussalmi,7700,7700,0,0,0,0,0,0.0,0.29589
0,n265,Suonenjoki,7100,7100,0,0,0,0,0,0.0,0.291324
0,n266,Sysm�,3800,3800,0,0,0,0,0,1.1e-07,0.123288
0,n267,S�kyl�,4700,4700,0,0,0,0,0,1.9e-07,0.263927
0,n268,Taipalsaari,4700,4700,0,0,0,0,0,0.0,0.212785
0,n269,Taivalkoski,4100,4100,0,0,0,0,0,0.0,0.156164
0,n270,Taivassalo,1700,1700,0,0,0,0,0,0.0,0.074886
0,n271,Tammela,6200,6200,0,0,0,0,0,3.7e-07,0.312329
0,n272,Tampere,244029,244028,1,0,0,0,0,6.5e-07,13.726027
0,n273,Tervo,1600,1600,0,0,0,0,0,0.0,0.07032
0,n274,Tervola,3200,3200,0,0,0,0,0,0.0,0.142466
0,n275,Teuva,5400,5400,0,0,0,0,0,0.0,0.146119
0,n276,Tohmaj�rvi,4500,4500,0,0,0,0,0,0.0,0.186301
0,n277,Toholampi,3200,3200,0,0,0,0,0,0.0,0.09863
0,n278,Toivakka,2500,2500,0,0,0,0,0,0.0,0.111416
0,n279,Tornio,21800,21800,0,0,0,0,0,6e-08,0.834703
0,n280,Turku,195301,195301,0,0,0,0,0,7e-08,10.690411
0,n281,Tuusniemi,2600,2600,0,0,0,0,0,0.0,0.116895
0,n282,Tuusula,39500,39500,0,0,0,0,0,6e-08,2.444749
0,n283,Tyrn�v�,6900,6900,0,0,0,0,0,0.0,0.326027
0,n284,Ulvila,13300,13300,0,0,0,0,0,0.0,0.637443
0,n285,Urjala,4700,4700,0,0,0,0,0,3.64e-06,0.185388
0,n286,Utaj�rvi,2800,2800,0,0,0,0,0,0.0,0.133333
0,n287,Utsjoki,1200,1200,0,0,0,0,0,0.0,0.102283
0,n288,Uurainen,3500,3500,0,0,0,0,0,0.0,0.168037
0,n289,Uusikaupunki,15500,15500,0,0,0,0,0,0.0,0.69863
0,n290,Vaala,3000,3000,0,0,0,0,0,0.0,0.108676
0,n291,Vaasa,67617,67617,0,0,0,0,0,8e-08,3.63105
0,n292,Valkeakoski,21200,21200,0,0,0,0,0,1.69e-06,0.875799
0,n293,Vantaa,239216,239216,0,0,0,0,0,3e-08,17.681279
0,n294,Varkaus,20200,20200,0,0,0,0,0,6e-08,0.744292
0,n295,Vehmaa,2200,2200,0,0,0,0,0,0.0,0.115982
